year,month,days,km,join_behind
1992,1,0,0,
1992,2,0,0,
1992,3,11,462,
1992,4,14,634,
1992,5,18,619,
1992,6,20,788,
1992,7,10,525,
1992,8,11,281,
1992,9,20,838,
1992,10,8,418,
1992,11,0,0,
1992,12,0,0,
1993,1,0,0,
1993,2,0,0,
1993,3,1,17.6,
1993,4,28,1141.87,
1993,5,28,1416.44,
1993,6,30,1275.76,
1993,7,21,1488.97,
1993,8,16,653.81,
1993,9,30,720,1
1993,10,,0,
1993,11,0,0,
1993,12,0,0,
1994,1,27,720.9,
1994,2,14,418.38,
1994,3,18,538.65,
1994,4,5,215,
1994,5,16,760,
1994,6,12,792.02,
1994,7,24,1726.32,
1994,8,8,366.86,
1994,9,10,454.22,
1994,10,2,44.97,
1994,11,2,91.21,
1994,12,,223.5,
1995,1,0,0,
1995,2,7,265.47,
1995,3,19,873.2,
1995,4,14,743.52,
1995,5,18,795.69,
1995,6,12,325.78,
1995,7,30,2627.25,
1995,8,10,841.67,
1995,9,19,787.87,
1995,10,10,309.64,
1995,11,6,100,
1995,12,0,0,
1996,1,,200,1
1996,2,,0,
1996,3,13,561.26,
1996,4,13,439.4,
1996,5,24,706.3,
1996,6,16,439,
1996,7,15,1433,
1996,8,,610,
1996,9,,239,
1996,10,,605,
1996,11,,323,
1996,12,,200,
1997,1,,75,
1997,2,,75,
1997,3,,424,
1997,4,,272,
1997,5,,525,
1997,6,16,529,
1997,7,22,1302,
1997,8,26,1022,
1997,9,25,600.21,
1997,10,16,368.55,
1997,11,8,109.71,
1997,12,4,93.36,
1998,1,,395,
1998,2,,103,
1998,3,12,269,
1998,4,18,395.92,
1998,5,28,643.48,
1998,6,22,580.15,
1998,7,25,1005.04,
1998,8,,156,
1998,9,,436,
1998,10,,111,
1998,11,,103,
1998,12,,318,
1999,1,16,171,
1999,2,2,41.1,
1999,3,27,678,
1999,4,22,658,
1999,5,23,660,
1999,6,20,500,
1999,7,26,1752.91,
1999,8,22,636,
1999,9,18,528,
1999,10,17,437,
1999,11,4,92,
1999,12,0,0,
2000,1,15,144.5,
2000,2,10,98,
2000,3,18,383,
2000,4,26,1052.6,
2000,5,28,1058,
2000,6,25,795,
2000,7,25,1404,
2000,8,26,1114,
2000,9,24,853,
2000,10,26,743,
2000,11,16,433,
2000,12,7,129,
2001,1,26,426,
2001,2,13,160,
2001,3,24,814,
2001,4,21,757,
2001,5,30,1805,
2001,6,28,1063,
2001,7,30,2025,
2001,8,29,1820,
2001,9,21,755,
2001,10,27,1067,
2001,11,21,381,
2001,12,19,292,
2002,1,28,585,
2002,2,26,706,
2002,3,28,1435,
2002,4,26,1115,
2002,5,27,1736,
2002,6,28,1501,
2002,7,30,2412,
2002,8,29,1755,
2002,9,28,1214,
2002,10,27,903,
2002,11,24,580,
2002,12,27,433,
2003,1,27,530,
2003,2,17,390,
2003,3,31,1326,
2003,4,25,1357,
2003,5,28,1602,
2003,6,26,1787,
2003,7,30,2132,
2003,8,30,2012,
2003,9,23,1008,
2003,10,12,401,
2003,11,22,600,
2003,12,7,184,
2004,1,29,700,
2004,2,23,800,
2004,3,23,1030,
2004,4,28,1622,
2004,5,26,1510,
2004,6,30,1859,
2004,7,31,2201,
2004,8,31,2508,
2004,9,29,1575,
2004,10,28,1010,
2004,11,27,624,
2004,12,26,663,
2005,1,28,605,
2005,2,19,456,
2005,3,16,342,
2005,4,28,1302,
2005,5,27,1241,
2005,6,18,937,
2005,7,13,1060,
2005,8,28,1865,
2005,9,25,1080,
2005,10,22,791,
2005,11,24,545,
2005,12,16,238,
2006,1,20,329,
2006,2,14,214,
2006,3,24,519,
2006,4,25,1103,
2006,5,27,1254,
2006,6,27,1670,
2006,7,28,1795,
2006,8,27,1520,
2006,9,25,1152,
2006,10,18,501,
2006,11,8,170,
2006,12,11,120,
2007,1,23,542,
2007,2,21,511,
2007,3,22,627,
2007,4,26,1207,
2007,5,31,1655,
2007,6,25,1087,
2007,7,21,1328,
2007,8,27,1295,
2007,9,26,1020,
2007,10,27,681,
2007,11,11,251,
2007,12,6,113,
2008,1,29,1040,
2008,2,26,806,
2008,3,17,419,
2008,4,27,1106,
2008,5,31,2035,
2008,6,29,1313,
2008,7,25,1410,
2008,8,21,1071,
2008,9,21,585,
2008,10,16,489,
2008,11,23,705,
2008,12,10,271,
2009,1,20,520,
2009,2,15,450,
2009,3,15,388,
2009,4,26,1336,
2009,5,26,1075,
2009,6,29,1285,
2009,7,15,1062,
2009,8,25,1260,
2009,9,29,1305,
2009,10,22,767,
2009,11,14,410,
2009,12,21,642,
2010,1,27,1026,
2010,2,25,820,
2010,3,19,634,
2010,4,26,1220,
2010,5,29,1456,
2010,6,28,2058,
2010,7,28,1762,
2010,8,23,1135,
2010,9,25,1072,
2010,10,21,605,
2010,11,21,518,
2010,12,20,534,
2011,1,28,880,
2011,2,23,770,
2011,3,15,533,
